obs,Sample_id,SampleDate,ReportDate,P2,Grower,Field,Y,X,attribute,measure
1085,22,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713944,44.005743,P_olsen,0
1086,23,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714413,44.006418,P_olsen,0
1087,24,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715524,44.00643,P_olsen,0
1088,25,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716721,44.007198,P_olsen,0
1089,26,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715544,44.00727,P_olsen,0
1090,27,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714043,44.007149,P_olsen,0
1091,28,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713809,44.001158,P_olsen,0
1092,20,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716563,44.005518,P_olsen,0
1093,21,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789544,43.993098,P_olsen,0
1094,22,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789501,43.9926,P_olsen,0
1095,27,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789415,43.986972,P_olsen,0
1096,5,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.793132,43.992454,P_olsen,0
1097,6,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.792942,43.993183,P_olsen,0
1098,8,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791453,43.990199,P_olsen,0
1099,9,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791117,43.989561,P_olsen,0
1100,10,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791278,43.988939,P_olsen,0
1101,11,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791485,43.988026,P_olsen,0
1102,12,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791651,43.987113,P_olsen,0
1103,13,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790426,43.986993,P_olsen,0
1104,14,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.79048,43.987656,P_olsen,0
1105,15,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790527,43.98863,P_olsen,0
1106,16,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789865,43.98947,P_olsen,0
1107,17,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.79043,43.9901,P_olsen,0
1108,18,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790678,43.991096,P_olsen,0
1109,19,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790759,43.992419,P_olsen,0
1110,20,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791025,43.993192,P_olsen,0
1111,23,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.78936,43.990273,P_olsen,0
1112,24,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.788906,43.989509,P_olsen,0
1113,25,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.788962,43.98871,P_olsen,0
1114,26,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789561,43.987705,P_olsen,0
1115,29,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789559,43.991084,P_olsen,0
1116,1,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.795423,43.992537,P_olsen,0
1117,2,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794859,43.993213,P_olsen,0
1118,3,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794072,43.992681,P_olsen,0
1119,4,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794252,43.991797,P_olsen,0
1120,28,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.796501,43.99326,P_olsen,0
1121,7,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791593,43.992593,P_olsen,0
1122,41,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.797858,44.041203,P_olsen,0
1123,42,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795701,44.040519,P_olsen,0
1124,46,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794507,44.039956,P_olsen,0
1125,45,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790539,44.039106,P_olsen,0
1126,47,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789406,44.03939,P_olsen,0
1127,19,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.796546,44.042351,P_olsen,0
1128,1,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794191,44.043868,P_olsen,0
1129,17,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794509,44.043223,P_olsen,0
1130,18,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79787,44.04228,P_olsen,0
1131,20,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795191,44.042227,P_olsen,0
1132,21,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793774,44.041882,P_olsen,0
1133,22,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793374,44.042354,P_olsen,0
1134,38,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794446,44.040494,P_olsen,0
1135,39,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795601,44.04124,P_olsen,0
1136,34,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.7894,44.040929,P_olsen,0
1137,48,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787318,44.040334,P_olsen,0
1138,2,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79294,44.043647,P_olsen,0
1139,3,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791681,44.043841,P_olsen,0
1140,4,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790426,44.043828,P_olsen,0
1141,5,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789361,44.043621,P_olsen,0
1142,14,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789307,44.042996,P_olsen,0
1143,15,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790425,44.043033,P_olsen,0
1144,16,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793154,44.043111,P_olsen,0
1145,23,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791611,44.042262,P_olsen,0
1146,24,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790729,44.042277,P_olsen,0
1147,25,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789325,44.042079,P_olsen,0
1148,35,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79065,44.041175,P_olsen,0
1149,36,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791528,44.041356,P_olsen,0
1150,37,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793113,44.041018,P_olsen,0
1151,43,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.792411,44.040423,P_olsen,0
1152,44,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.7899,44.040482,P_olsen,0
1153,49,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791575,44.043216,P_olsen,0
1154,31,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785745,44.041331,P_olsen,0
1155,6,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787815,44.043763,P_olsen,0
1156,7,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786711,44.043849,P_olsen,0
1157,8,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785712,44.043741,P_olsen,0
1158,9,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784476,44.043642,P_olsen,0
1159,10,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784437,44.043066,P_olsen,0
1160,11,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785492,44.042882,P_olsen,0
1161,12,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.78642,44.043149,P_olsen,0
1162,13,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787748,44.042894,P_olsen,0
1163,26,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787836,44.041928,P_olsen,0
1164,27,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786688,44.041647,P_olsen,0
1165,28,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785438,44.042245,P_olsen,0
1166,29,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784606,44.042261,P_olsen,0
1167,30,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784361,44.040973,P_olsen,0
1168,32,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786437,44.040678,P_olsen,0
1169,33,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787549,44.04102,P_olsen,0
1170,40,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.796675,44.041007,P_olsen,0
1171,10,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727839,43.953417,P_olsen,0
1172,11,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726718,43.953417,P_olsen,0
1173,12,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725547,43.953435,P_olsen,0
1174,13,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.953435,P_olsen,0
1175,14,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724252,43.954331,P_olsen,0
1176,15,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725447,43.954385,P_olsen,0
1177,16,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726693,43.954385,P_olsen,0
1178,17,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.954385,P_olsen,0
1179,18,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.9553,P_olsen,0
1180,19,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726792,43.955264,P_olsen,0
1181,20,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725497,43.955264,P_olsen,0
1182,21,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724152,43.955264,P_olsen,0
1183,22,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.956161,P_olsen,0
1184,23,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725422,43.956161,P_olsen,0
1185,24,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726693,43.956143,P_olsen,0
1186,25,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727963,43.956179,P_olsen,0
1187,26,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727988,43.956986,P_olsen,0
1188,27,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726767,43.956986,P_olsen,0
1189,28,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725497,43.957039,P_olsen,0
1190,29,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.956986,P_olsen,0
1191,42,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.721686,43.953327,P_olsen,0
1192,43,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.720465,43.953327,P_olsen,0
1193,44,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.719194,43.953327,P_olsen,0
1194,9,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727864,43.95252,P_olsen,0
1195,1,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725497,43.951641,P_olsen,0
1196,2,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726767,43.950709,P_olsen,0
1197,3,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727888,43.950727,P_olsen,0
1198,4,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.951641,P_olsen,0
1199,5,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726743,43.951624,P_olsen,0
1200,6,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724152,43.952502,P_olsen,0
1201,7,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725447,43.952502,P_olsen,0
1202,8,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726693,43.95252,P_olsen,0
1203,30,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.720465,43.950691,P_olsen,0
1204,31,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.721711,43.950727,P_olsen,0
1205,32,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.722956,43.950709,P_olsen,0
1206,33,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.722931,43.951641,P_olsen,0
1207,34,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.721686,43.951624,P_olsen,0
1208,35,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.72049,43.951624,P_olsen,0
1209,36,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.719245,43.951624,P_olsen,0
1210,37,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.719194,43.952502,P_olsen,0
1211,38,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.72039,43.952502,P_olsen,0
1212,39,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.721736,43.952502,P_olsen,0
1213,40,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.722956,43.952502,P_olsen,0
1214,45,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.719145,43.950691,P_olsen,0
1215,46,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.951677,P_olsen,0
1216,41,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.722931,43.953327,P_olsen,0
1217,1,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715079,44.001031,M3_p,0
1218,2,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716077,44.001391,M3_p,0
1219,3,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717587,44.001059,M3_p,0
1220,4,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717699,44.001909,M3_p,0
1221,5,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716624,44.002105,M3_p,0
1222,6,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715059,44.001936,M3_p,0
1223,7,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713805,44.001922,M3_p,0
1224,8,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713972,44.00264,M3_p,0
1225,9,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715039,44.002841,M3_p,0
1226,10,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716294,44.002855,M3_p,0
1227,11,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717385,44.003141,M3_p,0
1228,12,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716274,44.00376,M3_p,0
1229,13,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715106,44.003974,M3_p,0
1230,14,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713939,44.003573,M3_p,0
1231,15,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717323,44.004169,M3_p,0
1232,16,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713937,44.004847,M3_p,0
1233,17,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715969,44.00454,M3_p,0
1234,18,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717436,44.004981,M3_p,0
1235,19,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.717464,44.006085,M3_p,0
1236,21,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714748,44.005403,M3_p,0
1237,22,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713944,44.005743,M3_p,0
1238,23,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714413,44.006418,M3_p,0
1239,24,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715524,44.00643,M3_p,0
1240,25,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716721,44.007198,M3_p,0
1241,26,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.715544,44.00727,M3_p,0
1242,27,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.714043,44.007149,M3_p,0
1243,28,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.713809,44.001158,M3_p,0
1244,20,10/26/2018,10/30/2018,0,Tom Besch,Paulines,-92.716563,44.005518,M3_p,0
1245,21,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789544,43.993098,M3_p,0
1246,22,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789501,43.9926,M3_p,0
1247,27,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789415,43.986972,M3_p,0
1248,5,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.793132,43.992454,M3_p,0
1249,6,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.792942,43.993183,M3_p,0
1250,8,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791453,43.990199,M3_p,0
1251,9,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791117,43.989561,M3_p,0
1252,10,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791278,43.988939,M3_p,0
1253,11,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791485,43.988026,M3_p,0
1254,12,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791651,43.987113,M3_p,0
1255,13,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790426,43.986993,M3_p,0
1256,14,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.79048,43.987656,M3_p,0
1257,15,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790527,43.98863,M3_p,0
1258,16,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789865,43.98947,M3_p,0
1259,17,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.79043,43.9901,M3_p,0
1260,18,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790678,43.991096,M3_p,0
1261,19,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.790759,43.992419,M3_p,0
1262,20,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791025,43.993192,M3_p,0
1263,23,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.78936,43.990273,M3_p,0
1264,24,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.788906,43.989509,M3_p,0
1265,25,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.788962,43.98871,M3_p,0
1266,26,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789561,43.987705,M3_p,0
1267,29,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.789559,43.991084,M3_p,0
1268,1,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.795423,43.992537,M3_p,0
1269,2,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794859,43.993213,M3_p,0
1270,3,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794072,43.992681,M3_p,0
1271,4,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.794252,43.991797,M3_p,0
1272,28,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.796501,43.99326,M3_p,0
1273,7,10/26/2018,10/30/2018,0,Tom Besch,Folie N & SE,-92.791593,43.992593,M3_p,0
1274,41,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.797858,44.041203,M3_p,0
1275,42,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795701,44.040519,M3_p,0
1276,46,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794507,44.039956,M3_p,0
1277,45,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790539,44.039106,M3_p,0
1278,47,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789406,44.03939,M3_p,0
1279,19,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.796546,44.042351,M3_p,0
1280,1,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794191,44.043868,M3_p,0
1281,17,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794509,44.043223,M3_p,0
1282,18,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79787,44.04228,M3_p,0
1283,20,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795191,44.042227,M3_p,0
1284,21,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793774,44.041882,M3_p,0
1285,22,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793374,44.042354,M3_p,0
1286,38,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.794446,44.040494,M3_p,0
1287,39,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.795601,44.04124,M3_p,0
1288,34,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.7894,44.040929,M3_p,0
1289,48,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787318,44.040334,M3_p,0
1290,2,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79294,44.043647,M3_p,0
1291,3,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791681,44.043841,M3_p,0
1292,4,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790426,44.043828,M3_p,0
1293,5,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789361,44.043621,M3_p,0
1294,14,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789307,44.042996,M3_p,0
1295,15,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790425,44.043033,M3_p,0
1296,16,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793154,44.043111,M3_p,0
1297,23,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791611,44.042262,M3_p,0
1298,24,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.790729,44.042277,M3_p,0
1299,25,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.789325,44.042079,M3_p,0
1300,35,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.79065,44.041175,M3_p,0
1301,36,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791528,44.041356,M3_p,0
1302,37,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.793113,44.041018,M3_p,0
1303,43,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.792411,44.040423,M3_p,0
1304,44,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.7899,44.040482,M3_p,0
1305,49,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.791575,44.043216,M3_p,0
1306,31,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785745,44.041331,M3_p,0
1307,6,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787815,44.043763,M3_p,0
1308,7,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786711,44.043849,M3_p,0
1309,8,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785712,44.043741,M3_p,0
1310,9,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784476,44.043642,M3_p,0
1311,10,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784437,44.043066,M3_p,0
1312,11,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785492,44.042882,M3_p,0
1313,12,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.78642,44.043149,M3_p,0
1314,13,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787748,44.042894,M3_p,0
1315,26,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787836,44.041928,M3_p,0
1316,27,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786688,44.041647,M3_p,0
1317,28,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.785438,44.042245,M3_p,0
1318,29,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784606,44.042261,M3_p,0
1319,30,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.784361,44.040973,M3_p,0
1320,32,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.786437,44.040678,M3_p,0
1321,33,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.787549,44.04102,M3_p,0
1322,40,10/26/2018,11/2/2018,0,Tom Besch,Delzer South,-92.796675,44.041007,M3_p,0
1323,10,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727839,43.953417,M3_p,0
1324,11,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726718,43.953417,M3_p,0
1325,12,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725547,43.953435,M3_p,0
1326,13,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.953435,M3_p,0
1327,14,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724252,43.954331,M3_p,0
1328,15,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725447,43.954385,M3_p,0
1329,16,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726693,43.954385,M3_p,0
1330,17,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.954385,M3_p,0
1331,18,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727913,43.9553,M3_p,0
1332,19,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726792,43.955264,M3_p,0
1333,20,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725497,43.955264,M3_p,0
1334,21,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724152,43.955264,M3_p,0
1335,22,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.956161,M3_p,0
1336,23,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725422,43.956161,M3_p,0
1337,24,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726693,43.956143,M3_p,0
1338,25,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727963,43.956179,M3_p,0
1339,26,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727988,43.956986,M3_p,0
1340,27,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.726767,43.956986,M3_p,0
1341,28,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.725497,43.957039,M3_p,0
1342,29,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.724227,43.956986,M3_p,0
1343,42,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.721686,43.953327,M3_p,0
1344,43,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.720465,43.953327,M3_p,0
1345,44,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.719194,43.953327,M3_p,0
1346,9,6/20/2019,6/20/2019,0,Burnholdt,Burnholdt,-92.727864,43.95252,M3_p,0
